query_id,route_id,route_name,departure_date,return_date,source,airline,departure_time,return_time,price,status,error_message,query_started_at,query_finished_at,url,debug_screenshot,debug_html,debug_dom,selected_lowest
20260902_080655,tokyo,東京,2027-01-30,2027-02-06,eztravel,華航,09:30,19:30,26274,SUCCESS,,2026-09-02T08:06:55,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260902_080655,tokyo,東京,2027-01-30,2027-02-07,eztravel,華航,09:30,14:15,27649,SUCCESS,,2026-09-02T08:08:29,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260902_080655,tokyo,東京,2027-01-30,2027-02-08,eztravel,華航,09:30,14:15,27649,SUCCESS,,2026-09-02T08:10:03,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260902_080655,tokyo,東京,2027-01-30,2027-02-09,eztravel,星宇,10:10,13:45,31163,SUCCESS,,2026-09-02T08:11:37,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260902_080655,tokyo,東京,2027-01-31,2027-02-06,eztravel,華航,12:35,19:30,22166,SUCCESS,,2026-09-02T08:13:10,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,YES
20260902_080655,tokyo,東京,2027-01-31,2027-02-07,eztravel,華航,12:35,14:15,24236,SUCCESS,,2026-09-02T08:14:43,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260902_080655,tokyo,東京,2027-01-31,2027-02-08,eztravel,華航,12:35,14:15,24251,SUCCESS,,2026-09-02T08:16:15,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260902_080655,tokyo,東京,2027-01-31,2027-02-09,eztravel,華航,12:35,14:35,30560,SUCCESS,,2026-09-02T08:17:47,2026-09-02T08:19:18,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
