query_id,route_id,route_name,departure_date,return_date,source,airline,departure_time,return_time,price,status,error_message,query_started_at,query_finished_at,url,debug_screenshot,debug_html,debug_dom,selected_lowest
20260829_210654,tokyo,東京,2027-01-30,2027-02-06,eztravel,星宇,10:10,13:45,23749,SUCCESS,,2026-08-29T21:06:55,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260829_210654,tokyo,東京,2027-01-30,2027-02-07,eztravel,華航,12:15,14:15,41682,SUCCESS,,2026-08-29T21:08:27,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260829_210654,tokyo,東京,2027-01-30,2027-02-08,eztravel,星宇,10:10,13:45,26884,SUCCESS,,2026-08-29T21:10:06,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260829_210654,tokyo,東京,2027-01-30,2027-02-09,eztravel,星宇,10:10,13:45,29583,SUCCESS,,2026-08-29T21:11:40,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260829_210654,tokyo,東京,2027-01-31,2027-02-06,eztravel,華航,12:35,19:30,21871,SUCCESS,,2026-08-29T21:13:13,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,YES
20260829_210654,tokyo,東京,2027-01-31,2027-02-07,eztravel,星宇,08:25,13:45,26267,SUCCESS,,2026-08-29T21:14:45,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260829_210654,tokyo,東京,2027-01-31,2027-02-08,eztravel,,,,,NO_RESULT,No valid quote returned by source.,2026-08-29T21:16:24,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260829_210654,tokyo,東京,2027-01-31,2027-02-09,eztravel,華航,12:35,,24945,PARSE_ERROR,return_time cannot be empty.,2026-08-29T21:17:55,2026-08-29T21:19:34,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
