query_id,route_id,route_name,departure_date,return_date,source,airline,departure_time,return_time,price,status,error_message,query_started_at,query_finished_at,url,debug_screenshot,debug_html,debug_dom,selected_lowest
20260804_230702,tokyo,東京,2027-01-30,2027-02-06,eztravel,國泰,12:50,15:30,23152,SUCCESS,,2026-08-04T23:07:02,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260804_230702,tokyo,東京,2027-01-30,2027-02-07,eztravel,國泰,12:50,15:30,26741,SUCCESS,,2026-08-04T23:08:34,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260804_230702,tokyo,東京,2027-01-30,2027-02-08,eztravel,國泰,12:50,15:30,27506,SUCCESS,,2026-08-04T23:10:13,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260804_230702,tokyo,東京,2027-01-30,2027-02-09,eztravel,國泰,12:50,,28516,PARSE_ERROR,return_time cannot be empty.,2026-08-04T23:11:44,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260804_230702,tokyo,東京,2027-01-31,2027-02-06,eztravel,華航,12:35,19:30,22891,SUCCESS,,2026-08-04T23:13:23,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,YES
20260804_230702,tokyo,東京,2027-01-31,2027-02-07,eztravel,華航,12:35,14:35,27376,SUCCESS,,2026-08-04T23:14:57,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260804_230702,tokyo,東京,2027-01-31,2027-02-08,eztravel,華航,12:35,14:35,27376,SUCCESS,,2026-08-04T23:16:31,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260804_230702,tokyo,東京,2027-01-31,2027-02-09,eztravel,國泰,12:50,15:30,30246,SUCCESS,,2026-08-04T23:18:05,2026-08-04T23:19:39,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
