date,time,route_id,route_name,search_start_date,search_end_date,outbound_airline,outbound_time,return_airline,return_time,lowest_price,tracking_key
2026-08-05,07:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,15:40,22308,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-06,15:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,19390,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-07,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,15:40,22290,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-08,07:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,20531,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-09,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,20691,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-10,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22441,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-11,07:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,20693,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-12,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,22435,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-13,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,22432,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-14,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,22427,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-15,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,15:40,22419,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-16,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,15:40,22419,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-17,07:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,22419,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-18,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,20:10,22405,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-19,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22464,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-20,07:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22464,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-21,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22471,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-22,07:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22468,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-23,08:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22468,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-24,08:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22468,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-25,08:02,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22462,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-26,08:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22461,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-27,08:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22464,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-28,08:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22460,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-29,08:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,22442,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
